Season,District,Taluka,Village,Crop_Variety,Soil_Type,Farm_Area_hectares,Rainfall_mm,Avg_Temp_C,Avg_Humidity_pct,Row_Spacing_cm,Plant_Spacing_cm,Yield_kg_hectare,Sowing_Recommended
Rabi,Thane,Palghar,Vasai,Chickpea (JG-16),Medium Black,11.95,296,29.2,63,24,11,1462,Yes
Kharif,Pune,Indapur,Dhumalwadi,Pearl Millet (ICTP-8203),Clay Loam,8.36,885,24.5,69,52,14,0,No
Kharif,Yavatmal,Digras,Mahagaon,Pigeonpea (ICPL-87119),Medium Black,10.52,1043,28.7,67,51,16,0,No
Kharif,Aurangabad,Vaijapur,Gangapur,Groundnut (JL-24),Deep Black,3.94,622,28.9,77,41,11,2180,Yes
Kharif,Nagpur,Umred,Kamptee,Soybean (JS-335),Shallow Black,2.57,800,30.9,81,48,7,2438,Yes
Rabi,Pune,Junnar,Narayangaon,Sorghum (CSH-16),Deep Black,5.26,260,20.4,60,41,13,0,No
Kharif,Parbhani,Jintur,Palam,Groundnut (JL-24),Shallow Black,3.64,417,33.4,69,35,15,0,No
Rabi,Mumbai,Mumbai Suburban,Kandivali,Sorghum (CSH-16),Deep Black,2.51,326,24.9,63,53,13,0,No
Kharif,Sangli,Tasgaon,Walwa,Groundnut (JL-24),Clay Loam,4.66,1037,30.6,80,43,16,0,No
Rabi,Wardha,Arvi,Karanja,Sorghum (CSH-16),Deep Black,2.72,494,27.0,75,44,17,3590,Yes
Rabi,Yavatmal,Digras,Darwha,Chickpea (JG-16),Shallow Black,10.51,415,21.5,65,32,8,1282,Yes
Kharif,Aurangabad,Vaijapur,Phulambri,Pearl Millet (ICTP-8203),Deep Black,3.39,589,29.2,78,51,18,1464,Yes
Rabi,Jalna,Ambad,Ghansawangi,Sorghum (CSH-23),Shallow Black,1.81,376,22.3,50,40,17,0,No
Kharif,Thane,Bhiwandi,Bhiwandi Town,Pearl Millet (ICTP-8203),Medium Black,6.42,683,34.3,62,43,14,880,Yes
Kharif,Chandrapur,Brahmapuri,Gondpipri,Soybean (MACS-450),Deep Black,9.38,785,28.6,75,47,2,2699,Yes
Kharif,Dhule,Sindkhede,Shirpur,Pigeonpea (BSMR-736),Medium Black,3.04,565,28.5,55,56,20,0,No
Kharif,Hingoli,Aundha Nagnath,Sengaon,Cotton (NSP-1136),Laterite,6.79,640,29.6,60,81,29,1786,Yes
Kharif,Wardha,Arvi,Ashti,Pearl Millet (DHANASHREE),Shallow Black,7.41,957,29.7,79,40,16,0,No
Kharif,Jalgaon,Bhusawal,Yawal,Pigeonpea (BSMR-736),Medium Black,3.6,585,34.9,61,59,22,0,No
Kharif,Satara,Wai,Mahabaleshwar,Groundnut (TG-37A),Medium Black,9.47,1028,28.8,77,43,17,0,No
Kharif,Akola,Akot,Akot Town,Cotton (NSP-1135),Medium Black,9.31,748,35.3,66,72,33,1493,Yes
