pattern,replacement
bukhar,fever
khansi,cough
khasi,cough
gale me dard,sore throat
sar dard,headache
saans phoolna,shortness of breath
pet dard,abdominal pain
pait dard,abdominal pain
gas,bloating
ulti,vomiting
ultee,vomiting
loose motion,diarrhea
dast,diarrhea
pandura,paleness
pandu,paleness
asaan neel,easy bruising
nakseer,nosebleeds
mooku ratham,nosebleeds
awaz ka bhaari hona,hoarseness
kural karkarappu,hoarseness
seene ka jakdan,chest tightness
nenju irukku,chest tightness
tez saans,rapid breathing
veka mucchu,rapid breathing
vayiru veekkam,bloating
apach,indigestion
jeeranam illai,indigestion
mal mein khoon,rectal bleeding
malam ratham,rectal bleeding
vayu,flatulence
pyaas,thirst
taagam,thirst
bhookh badhna,increased hunger
pasi adhikam,increased hunger
hathon ka pasina,sweaty palms
kai viyarvai,sweaty palms
sukhi twacha,skin dryness
charma varatchi,skin dryness
pairon mein khichav,leg cramps
kaal thasai pidippu,leg cramps
gardaan ka jakdan,stiff neck
kuzhu irukku,stiff neck
yaadash kamzori,memory loss
ninaivu izhappu,memory loss
daura,seizures
valippu,seizures
jhanjhanahat,tingling sensation
karukaruppu,tingling sensation
do nazar,double vision
irattai parvai,double vision
aankh laal hona,eye redness
kan sivappu,eye redness
sunai na dena,hearing loss
kettu izhappu,hearing loss
gandh soojan,swollen lymph nodes
nodi veekkam,swollen lymph nodes
khansi mein khoon,blood in sputum
irumal ratham,blood in sputum
neela padna,cyanosis
neela charmam,cyanosis
anayam dil ki dharkan,irregular heartbeat
idaya tudippu aniyamam,irregular heartbeat
pet ka phoolna,abdominal distension
vayiru veengu,abdominal distension
nigalna mushkil,dysphagia
vizhungu kastam,dysphagia
peshab ka rukhna,urinary incontinence
siruneer adangamai,urinary incontinence
gehra peshab,dark urine
irutta siruneer,dark urine
kamar ka dard,flank pain
iduppu vali,flank pain
pairon ki soojan,edema in legs
kaal veekkam,edema in legs
garam lahren,hot flashes
veedu,hot flashes
mood ka utaar-chadhaav,mood swings
mananilai maruthal,mood swings
chirchira pan,irritability
erichal,irritability
ghabrahat,panic attacks
payam,panic attacks
twacha ka chhilna,skin peeling
charma urithal,skin peeling
muhase,acne
mukaparu,acne
jodon ki soojan,joint swelling
mootu veekkam,joint swelling
muscle kamzori,muscle weakness
thasai paalam,muscle weakness
bolne mein dikkat,speech difficulty
pesal kastam,speech difficulty
santulan kamzori,balance problems
samanilai kastam,balance problems
aankh ka dard,eye pain
kan vali,eye pain
aankh mein chhote daag,floaters
parvai puli,floaters
chheenk,sneezing
tummal,sneezing
naak behna,runny nose
mooku oli,runny nose
masudon ki soojan,gum swelling
oottu veekkam,gum swelling
muh ki badbu,bad breath
vaai natham,bad breath
maasik dard,menstrual pain
maathavidaai vali,menstrual pain
yoni sraav,vaginal discharge
yoni veeli,vaginal discharge
dizzy,dizziness
chakkar,dizziness
seene mein dard,chest pain
chest mein dard,chest pain
chakkar aa raha hai,dizziness
sir ghoom raha hai,dizziness
sine mein jalan,heartburn
sine mein dard,chest pain
seene mein jalan,heartburn
seene mein dabav,chest tightness
seene mein sujan,chest swelling
