Season,District,Taluka,Village,Crop_Variety,Soil_Type,Farm_Area_hectares,Rainfall_mm,Avg_Temp_C,Avg_Humidity_pct,Row_Spacing_cm,Plant_Spacing_cm,Seed_Quantity_kg_hectare,Sowing_Recommended
Rabi,Thane,Palghar,Vasai,Chickpea (JG-16),Medium Black,11.95,296,29.2,63,24,11,75,Yes
Kharif,Pune,Indapur,Dhumalwadi,Pearl Millet (ICTP-8203),Clay Loam,8.36,885,24.5,69,52,14,4,No
Kharif,Yavatmal,Digras,Mahagaon,Pigeonpea (ICPL-87119),Medium Black,10.52,1043,28.7,67,51,16,15,No
Kharif,Aurangabad,Vaijapur,Gangapur,Groundnut (JL-24),Deep Black,3.94,622,28.9,77,41,11,110,Yes
Kharif,Nagpur,Umred,Kamptee,Soybean (JS-335),Shallow Black,2.57,800,30.9,81,48,7,65,Yes
Rabi,Pune,Junnar,Narayangaon,Sorghum (CSH-16),Deep Black,5.26,260,20.4,60,41,13,12,No
Kharif,Parbhani,Jintur,Palam,Groundnut (JL-24),Shallow Black,3.64,417,33.4,69,35,15,110,No
Rabi,Mumbai,Mumbai Suburban,Kandivali,Sorghum (CSH-16),Deep Black,2.51,326,24.9,63,53,13,12,No
Kharif,Sangli,Tasgaon,Walwa,Groundnut (JL-24),Clay Loam,4.66,1037,30.6,80,43,16,110,No
Rabi,Wardha,Arvi,Karanja,Sorghum (CSH-16),Deep Black,2.72,494,27,75,44,17,12,Yes
Rabi,Yavatmal,Digras,Darwha,Chickpea (JG-16),Shallow Black,10.51,415,21.5,65,32,8,75,Yes
Kharif,Aurangabad,Vaijapur,Phulambri,Pearl Millet (ICTP-8203),Deep Black,3.39,589,29.2,78,51,18,4,Yes
Rabi,Jalna,Ambad,Ghansawangi,Sorghum (CSH-23),Shallow Black,1.81,376,22.3,50,40,17,12,No
Kharif,Thane,Bhiwandi,Bhiwandi Town,Pearl Millet (ICTP-8203),Medium Black,6.42,683,34.3,62,43,14,4,Yes
Kharif,Chandrapur,Brahmapuri,Gondpipri,Soybean (MACS-450),Deep Black,9.38,785,28.6,75,47,2,65,Yes
Kharif,Dhule,Sindkhede,Shirpur,Pigeonpea (BSMR-736),Medium Black,3.04,565,28.5,55,56,20,15,No
Kharif,Hingoli,Aundha Nagnath,Sengaon,Cotton (NSP-1136),Laterite,6.79,640,29.6,60,81,29,2,Yes
Kharif,Wardha,Arvi,Ashti,Pearl Millet (DHANASHREE),Shallow Black,7.41,957,29.7,79,40,16,4,No
Kharif,Jalgaon,Bhusawal,Yawal,Pigeonpea (BSMR-736),Medium Black,3.6,585,34.9,61,59,22,15,No
Kharif,Satara,Wai,Mahabaleshwar,Groundnut (TG-37A),Medium Black,9.47,1028,28.8,77,43,17,110,No
Kharif,Akola,Akot,Akot Town,Cotton (NSP-1135),Medium Black,9.31,748,35.3,66,72,33,2,Yes
Kharif,Aurangabad,Gangapur,Vaijapur,Cotton (NSP-1136),Clay Loam,3.33,785,27.5,71,73,28,2,Yes
Kharif,Kolhapur,Karvir,Kagal,Pearl Millet (ICTP-8203),Shallow Black,1.16,1131,26.4,74,52,14,4,No
Rabi,Yavatmal,Pusad,Umarkhed,Sorghum (CSH-23),Medium Black,11.54,367,20.7,58,50,14,12,No
Kharif,Buldhana,Khamgaon,Khamgaon Town,Soybean (MACS-450),Shallow Black,1.35,705,35.4,66,47,5,65,Yes
Rabi,Wardha,Hinganghat,Samudrapur,Wheat (HD-3086),Laterite,6.11,500,23.9,70,20,5,120,Yes
Kharif,Ahmednagar,Kopargaon,Shrirampur,Rice (DRRH-3),Shallow Black,10.85,692,29,79,15,14,60,Yes
Rabi,Nagpur,Katol,Kalamna,Sorghum (CSH-16),Shallow Black,3.92,415,23.7,61,52,14,12,Yes
Rabi,Parbhani,Jintur,Manwath,Chickpea (JG-16),Clay Loam,6.94,214,24.3,49,30,12,75,No
Kharif,Buldhana,Khamgaon,Motala,Rice (DRRH-3),Medium Black,10.69,471,35.3,69,36,11,60,No
Rabi,Kolhapur,Karvir,Kagal,Safflower (PBNS-12),Clay Loam,10.75,373,19.2,69,50,9,15,Yes
Rabi,Nanded,Loha,Mukhed,Chickpea (Digvijay),Deep Black,1.71,415,24.9,64,25,10,75,Yes
Kharif,Osmanabad,Osmanabad City,Paranda,Pearl Millet (ICTP-8203),Medium Black,11.05,507,34.6,71,53,15,4,Yes
Rabi,Jalna,Badnapur,Jafrabad,Sorghum (CSH-16),Laterite,2.5,303,20.3,64,46,15,12,No
Rabi,Sangli,Tasgaon,Jat,Chickpea (Vijay),Clay Loam,9.71,442,18.5,57,30,10,75,Yes
Kharif,Latur,Udgir,Udgir Town,Pearl Millet (DHANASHREE),Laterite,9.34,692,28.1,74,56,16,4,Yes
Kharif,Hingoli,Basmath,Basmath Town,Cotton (NSP-1135),Clay Loam,5.13,550,31.7,59,82,26,2,Yes
Kharif,Sindhudurg,Oros,Kankavli,Cotton (NH-615),Shallow Black,5.21,613,33.7,69,80,31,2,Yes
Rabi,Kolhapur,Shirol,Shirol Town,Wheat (HI-1500),Medium Black,11.29,329,16.2,65,17,2,120,Yes
Kharif,Nagpur,Umred,Bhiwapur,Soybean (JS-335),Laterite,9.96,1076,32.3,72,51,5,65,Yes
Kharif,Chandrapur,Brahmapuri,Gondpipri,Pearl Millet (ICTP-8203),Clay Loam,10.19,612,33.3,57,52,11,4,Yes
Rabi,Ratnagiri,Chiplun,Guhagar,Wheat (HD-3086),Medium Black,6.17,179,29.8,55,30,3,120,No
Kharif,Jalna,Ambad,Badnapur,Groundnut (JL-24),Clay Loam,1.5,891,32.5,69,47,17,110,No
Kharif,Akola,Balapur,Akot,Rice (DRRH-3),Medium Black,3.19,557,31.6,60,21,15,60,No
Rabi,Sangli,Tasgaon,Miraj,Safflower (PBNS-12),Laterite,4.84,266,21.7,70,45,12,15,Yes
Rabi,Jalna,Ambad,Partur,Chickpea (Vijay),Shallow Black,8.97,270,18.3,64,32,11,75,Yes
Kharif,Akola,Balapur,Balapur Town,Groundnut (TG-37A),Clay Loam,1.71,408,34.5,75,39,15,110,No
Kharif,Solapur,Barshi,Sangola,Groundnut (JL-24),Deep Black,7.13,787,31.7,66,41,14,110,No
Rabi,Chandrapur,Brahmapuri,Sindewahi,Sunflower (BSH-1),Medium Black,11.68,325,22.7,65,58,29,6,Yes
Rabi,Latur,Ahmadpur,Chakur,Chickpea (Vijay),Medium Black,7.51,284,25.2,50,34,9,75,Yes
Kharif,Latur,Udgir,Deoni,Pigeonpea (BSMR-736),Shallow Black,9.08,682,29.5,60,69,15,15,Yes
Rabi,Yavatmal,Digras,Digras Town,Chickpea (Digvijay),Shallow Black,1.81,416,23.1,59,35,10,75,Yes
Kharif,Sangli,Miraj,Tasgaon,Soybean (MACS-450),Clay Loam,3.13,909,26.1,74,45,5,65,Yes
Rabi,Jalna,Ambad,Ambad Town,Sorghum (CSH-23),Shallow Black,7.13,338,22,70,47,11,12,No
Rabi,Nagpur,Katol,Kalamna,Chickpea (JG-16),Laterite,6.91,455,22.1,63,31,10,75,Yes
Kharif,Latur,Udgir,Nilanga,Soybean (JS-335),Clay Loam,3.26,519,30,61,43,7,65,No
Rabi,Satara,Karad,Wai,Sunflower (KBSH-53),Laterite,8.94,397,19.9,72,58,31,6,No
Kharif,Ahmednagar,Kopargaon,Kopargaon Town,Pearl Millet (ICTP-8203),Medium Black,9.99,754,29.5,79,45,14,4,No
Rabi,Parbhani,Gangakhed,Sonpeth,Sorghum (CSH-23),Medium Black,10.28,304,23.4,49,39,14,12,No
Rabi,Sangli,Tasgaon,Walwa,Chickpea (JG-16),Clay Loam,6.06,329,17.9,60,27,9,75,Yes
Kharif,Dhule,Sindkhede,Dhule City,Soybean (MAUS-71),Shallow Black,2.09,655,30.7,71,42,5,65,Yes
Kharif,Pune,Indapur,Dhumalwadi,Rice (SAHABHAGI),Laterite,9.21,739,27,68,18,16,60,No
